datetime;averageVehicleSpeed;travelTime;trafficStatus;Geo Point;vitesse_maxi;denomination;hierarchie_dv
2025-11-04 17:24:00+01:00;71;10;freeFlow;48.044792756860865, -1.6502152435538264;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;55;13;freeFlow;48.04490011863635, -1.6501987288374653;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;76;9;freeFlow;48.04524378343284, -1.6428939526652688;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;55;12;freeFlow;48.045349915808416, -1.6429232180244475;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;76;13;freeFlow;48.045645642320295, -1.6399234873467938;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;58;17;freeFlow;48.045751208426495, -1.6399570004461081;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;76;20;freeFlow;48.04616734157628, -1.635224917314191;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;52;30;freeFlow;48.04627468522579, -1.6352298552259004;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;76;13;freeFlow;48.04585017291146, -1.6305428001813604;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;73;14;freeFlow;48.04595622911455, -1.6305129267523073;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;76;19;freeFlow;48.04534138277834, -1.626100671092705;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;49;29;freeFlow;48.04544815642694, -1.6260771440570991;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;76;7;freeFlow;48.044721629564314, -1.6478302559610478;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;55;10;freeFlow;48.04482919776599, -1.6478414070565799;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;77;3;freeFlow;48.05315289782038, -1.6647692523936504;80;Route départementale 82;Réseau structurant
2025-11-04 17:24:00+01:00;54;5;heavy;48.05316542840295, -1.66492923465493;80;Route départementale 82;Réseau structurant
2025-11-04 17:24:00+01:00;45;31;heavy;48.07494914823076, -1.695615566442059;90;Route départementale 837;Réseau structurant
2025-11-04 17:24:00+01:00;19;7;congested;48.06285401835627, -1.6994544873049928;70;Route départementale 837;Réseau structurant
2025-11-04 17:24:00+01:00;10;8;congested;48.04408857934558, -1.66548269877037;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;41;1;heavy;48.04419457000906, -1.665513084355858;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;40;2;freeFlow;48.04507971353305, -1.6647730596169343;30;Rue de Rennes;Réseau structurant
2025-11-04 17:24:00+01:00;90;1;freeFlow;48.04510237684772, -1.664930428489545;30;Rue de Rennes;Réseau structurant
2025-11-04 17:24:00+01:00;40;1;freeFlow;48.047111343358885, -1.6648112767673304;30;Rue de Rennes;Réseau structurant
2025-11-04 17:24:00+01:00;90;1;freeFlow;48.04706941722454, -1.6649595996203794;30;Rue de Rennes;Réseau structurant
2025-11-04 17:24:00+01:00;40;1;freeFlow;48.04750034471482, -1.6648332549489189;30;Rue de Rennes;Réseau structurant
2025-11-04 17:24:00+01:00;54;1;freeFlow;48.04752634066933, -1.664989481070002;30;Rue de Rennes;Réseau structurant
2025-11-04 17:24:00+01:00;76;9;freeFlow;48.04495500708082, -1.6453972138989261;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;55;13;freeFlow;48.045061550130484, -1.6454229473772497;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;66;2;freeFlow;48.044691685444704, -1.6115202124333143;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;9;13;congested;48.0445837746568, -1.611523358456343;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;64;1;freeFlow;48.04470777286132, -1.6148580100536973;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;16;4;congested;48.04459985685961, -1.6148607299545983;70;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;41;5;heavy;48.08052762422041, -1.7944973057785276;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;43;3;heavy;48.08012937066682, -1.7943573961527377;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;39;3;heavy;48.08069710582918, -1.794096406730662;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;44;8;heavy;48.082018554616745, -1.7938770503508001;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;44;8;heavy;48.082034780009536, -1.7940362923262796;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;32;11;heavy;48.08114007190155, -1.7940691700201679;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;28;14;heavy;48.081152567713914, -1.7942291574856457;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;113;18;freeFlow;48.079653645144205, -1.7932193028441303;110;Route nationale 24;Route nationale
2025-11-04 17:24:00+01:00;117;17;freeFlow;48.07906432342529, -1.7938632657824196;110;Route nationale 24;Route nationale
2025-11-04 17:24:00+01:00;65;38;freeFlow;48.06085155217433, -1.7709009302957024;80;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;39;62;heavy;48.06095885196895, -1.7709184741592452;80;Route départementale 34;Réseau de transit
2025-11-04 17:24:00+01:00;35;4;heavy;48.06080526223627, -1.7755667960711454;80;Rond-point des Villeneuves;Réseau de transit
2025-11-04 17:24:00+01:00;36;4;heavy;48.060347325059894, -1.775984287856189;80;Rond-point des Villeneuves;Réseau de transit
2025-11-04 17:24:00+01:00;39;4;heavy;48.060465143977616, -1.7755540977447732;80;Rond-point des Villeneuves;Réseau de transit
2025-11-04 17:24:00+01:00;20;9;congested;48.06088218686456, -1.7760480989218623;80;Rond-point des Villeneuves;Réseau de transit
2025-11-04 17:24:00+01:00;35;4;heavy;48.060567943928625, -1.7763162649377175;80;Rond-point des Villeneuves;Réseau de transit
2025-11-04 17:24:00+01:00;52;81;heavy;48.06443709294832, -1.7810956526508581;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;64;66;freeFlow;48.06434637042733, -1.7811938678363142;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;50;80;heavy;48.073235133479685, -1.7891856992293145;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;73;54;freeFlow;48.073180541085506, -1.789324687578002;80;Route départementale 288;Réseau de transit
2025-11-04 17:24:00+01:00;111;3;freeFlow;48.08121218030474, -1.7907897218795679;110;Route nationale 24;Route nationale
2025-11-04 17:24:00+01:00;39;5;heavy;48.080193190663294, -1.7938891971882505;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;35;4;heavy;48.08055757553529, -1.793818446450926;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;47;3;heavy;48.078079410572364, -1.793272401717373;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;48;2;heavy;48.07791099584271, -1.7929298576311015;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;46;4;heavy;48.077590340701725, -1.7929655387535064;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;29;7;heavy;48.077430125677125, -1.7934782229578308;80;Rond-point;Réseau de transit
2025-11-04 17:24:00+01:00;29;4;heavy;48.07763496075057, -1.7938736098649377;80;Rond-point;Réseau de transit
