datetime;predefinedLocationReference;averageVehicleSpeed;travelTime;travelTimeReliability;trafficStatus;vehicleProbeMeasurement;Geo Point;Geo Shape;gml_id;id_rva_troncon_fcd_v1_1;hierarchie;hierarchie_dv;denomination;insee;sens_circule;vitesse_maxi
2025-11-04T17:24:00+01:00;10273_D;71;10;60;freeFlow;1;48.044792756860865, -1.6502152435538264;"{""coordinates"": [[-1.651560961036608, 48.04488583237593], [-1.649942809885061, 48.04477391733652], [-1.648869526613244, 48.04469967350696]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5458;5458;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10273_G;55;13;52;freeFlow;1;48.04490011863635, -1.6501987288374653;"{""coordinates"": [[-1.648853009091766, 48.04480703509309], [-1.649926294608918, 48.04488127907371], [-1.651544449125304, 48.044993194341636]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5460;5460;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10274_D;76;9;60;freeFlow;1;48.04524378343284, -1.6428939526652688;"{""coordinates"": [[-1.643992388929991, 48.04510759140762], [-1.641795516400546, 48.045379975458054]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5459;5459;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10274_G;55;12;52;freeFlow;1;48.045349915808416, -1.6429232180244475;"{""coordinates"": [[-1.641824779581796, 48.04548610811051], [-1.644021656467099, 48.04521372350632]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5462;5462;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10275_D;76;13;60;freeFlow;1;48.045645642320295, -1.6399234873467938;"{""coordinates"": [[-1.641793806571708, 48.045380200301764], [-1.640384821578452, 48.04557611584068], [-1.640383987910077, 48.045576234840524], [-1.638054077936143, 48.045917457881345]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5461;5461;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10275_G;58;17;68;freeFlow;2;48.045751208426495, -1.6399570004461081;"{""coordinates"": [[-1.638088420834755, 48.046022903931814], [-1.640417918967923, 48.04568174117865], [-1.641826489414001, 48.045485883266345]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5464;5464;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10277_D;76;20;60;freeFlow;1;48.04616734157628, -1.635224917314191;"{""coordinates"": [[-1.638053109302665, 48.04591760394022], [-1.636568483609341, 48.04614790725548], [-1.635949046975687, 48.04621305503183], [-1.635455536842984, 48.04625722582659], [-1.634893864211113, 48.046277905543604], [-1.634417010914219, 48.04627492918916], [-1.633919547345506, 48.046255122632445], [-1.632389193067669, 48.04608403367297]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5463;5463;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10277_G;52;30;63;freeFlow;2;48.04627468522579, -1.6352298552259004;"{""coordinates"": [[-1.63236272064578, 48.046190495328], [-1.633897284750582, 48.04636205491579], [-1.633905748847068, 48.04636269470671], [-1.634409479412649, 48.04638275078327], [-1.634413500124106, 48.04638284331505], [-1.634894948845396, 48.04638584835194], [-1.634900109782088, 48.04638576953718], [-1.635467491133295, 48.04636487964154], [-1.635473726220316, 48.0463644864229], [-1.635971256011844, 48.046319955853036], [-1.635973078060101, 48.046319778522886], [-1.636596279038923, 48.04625423483881], [-1.636601946770068, 48.04625349818546], [-1.638089389470106, 48.04602275787264]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5451;5451;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10279_D;76;13;60;freeFlow;1;48.04585017291146, -1.6305428001813604;"{""coordinates"": [[-1.632390891741517, 48.04608423616097], [-1.628694708621204, 48.04561610966194]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5450;5450;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10279_G;73;14;73;freeFlow;2;48.04595622911455, -1.6305129267523073;"{""coordinates"": [[-1.628664831536064, 48.04572216538953], [-1.63236102196855, 48.04619029283957]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5453;5453;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10281_D;76;19;60;freeFlow;1;48.04534138277834, -1.626100671092705;"{""coordinates"": [[-1.628692471059177, 48.045615848107055], [-1.627077428881016, 48.0454427571363], [-1.625832807120928, 48.04530934937375], [-1.624969938520137, 48.04521685256642], [-1.624968057492526, 48.045216666172564], [-1.623507207788626, 48.0450837036663]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5452;5452;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
2025-11-04T17:24:00+01:00;10281_G;49;29;69;freeFlow;2;48.04544815642694, -1.6260771440570991;"{""coordinates"": [[-1.623485557474728, 48.045190654222196], [-1.624945467991785, 48.045323531249295], [-1.625807399433694, 48.04541592759436], [-1.627052023679901, 48.04554933562082], [-1.628667069102553, 48.04572242694495]], ""type"": ""LineString""}";rva_troncon_fcd_v1_1.5455;5455;Réseau d'armature;Réseau de transit;Route départementale 34;35206;;70
